year,course_type,course_name
2015,Full-Time,Nitec in Mechatronics
2015,Full-Time,Nitec in Medical Manufacturing Technology
2015,Full-Time,Nitec in Nursing
2015,Full-Time,Nitec in Opticianry
2015,Full-Time,Nitec in Pastry & Baking
2015,Full-Time,Nitec in Product Design
2015,Full-Time,Nitec in Rapid Transit Technology
2015,Full-Time,Nitec in Retail Services
2015,Full-Time,Nitec in Retail Services (3-year)
2015,Full-Time,Nitec in Security Technology
2015,Full-Time,Nitec in Social Media & Web Development
2015,Full-Time,Nitec in Space Design (Architecture)
2015,Full-Time,Nitec in Space Design (Interior & Exhibition)
2015,Full-Time,Nitec in Travel & Tourism Services
2015,Full-Time,Nitec in Visual Communication
2015,Full-Time,Nitec in Visual Effects
2015,Full-Time,Nitec in Western Culinary Arts
2015,Full-Time,Technical Diploma in Culinary Arts
2015,Full-Time,Technical Engineer Diploma in Automotive Engineering
2015,Full-Time,Technical Engineer Diploma in Machine Technology
2015,Part-Time,Higher Nitec in Services - Accounting
2015,Part-Time,Higher Nitec in Services - Banking Services
2015,Part-Time,Higher Nitec in Services - Event Management
2015,Part-Time,Higher Nitec in Services - Hospitality Operations
2015,Part-Time,Higher Nitec in Services - Logistics for International Trade
2015,Part-Time,Higher Nitec in Services - Sport Management
2015,Part-Time,Higher Nitec in Services - Visual Merchandising
2015,Part-Time,Higher Nitec in Technology - Advanced Manufacturing
2015,Part-Time,Higher Nitec in Technology - Chemical Technology
2015,Part-Time,Higher Nitec in Technology - Civil & Structural Engineering Design
2015,Part-Time,Higher Nitec in Technology - Electrical Engineering
2015,Part-Time,Higher Nitec in Technology - Electronics Engineering
2015,Part-Time,Higher Nitec in Technology - Facility Management
2015,Part-Time,Higher Nitec in Technology - Games Design & Development
2015,Part-Time,Higher Nitec in Technology - Information Technology
2015,Part-Time,Higher Nitec in Technology - Marine & Offshore Technology
2015,Part-Time,Higher Nitec in Technology - Mechanical Engineering
2015,Part-Time,Higher Nitec in Technology - Mechatronics Engineering
2015,Part-Time,Higher Nitec in Technology - Offshore & Marine Engineering Design
2015,Part-Time,Higher Nitec in Technology - Security System Integration
2015,Part-Time,ITE Skills Certificate in Electrical Wiring
2015,Part-Time,ITE Skills Certificate in Gas Tungsten Arc Welding
2015,Part-Time,ITE Skills Certificate in Residential Air-Conditioning
2015,Part-Time,ITE Skills Certificate in Residential Plumbing
2015,Part-Time,ITE Skills Certificate in Shielded Metal Arc Welding
2015,Part-Time,Nitec in Services - Beauty & Wellness
2015,Part-Time,Nitec in Services - Business Services
2015,Part-Time,Nitec in Services - Digital Animation
2015,Part-Time,Nitec in Services - Food & Beverage Operations
2015,Part-Time,Nitec in Services - Interactive Media Design
2015,Part-Time,Nitec in Services - Pastry & Baking
2015,Part-Time,Nitec in Services - Product Design
2015,Part-Time,Nitec in Services - Space Design (Interior & Exhibition)
2015,Part-Time,Nitec in Services - Travel & Tourism Services
2015,Part-Time,Nitec in Services - Visual Communication
2015,Part-Time,Nitec in Technology - Automotive Technology (Heavy Vehicles)
2015,Part-Time,Nitec in Technology - Automotive Technology (Light Vehicles)
2015,Part-Time,Nitec in Technology - Chemical Process Technology (Biologics)
2015,Part-Time,Nitec in Technology - Chemical Process Technology (Petrochemicals)
2015,Part-Time,Nitec in Technology - Chemical Process Technology (Pharmaceuticals)
2015,Part-Time,Nitec in Technology - Chemical Process Technology (Process Instrumentation)
2015,Part-Time,Nitec in Technology - Electrical Technology (Power & Control)
2015,Part-Time,Nitec in Technology - Electronics (Computer & Networking)
2015,Part-Time,Nitec in Technology - Electronics (Display Technology)
2015,Part-Time,Nitec in Technology - Electronics (Instrumentation)
2015,Part-Time,Nitec in Technology - Electronics (Mobile Devices)
